"","County","Total.Population","TotalHouseholds","AvgHHinc","MedHHinc","WalkIndexScore","LeastWalk","BelowAvgWalk","AboveAvgWalk","MostWalk","PopInFHA","PercentPopInFHA"
"1","Alamance County NC",171415,44067,98050.2,81569,7,0.404,0.5414,0.0546,0,3958,0.0231
"2","Alexander County NC",36444,9655,94025.83,76397,5,0.5615,0.4385,0,0,1083,0.0297
"3","Alleghany County NC",10888,3280,85148.66,58947,5,0.6286,0.3714,0,0,558,0.0512
"4","Anson County NC",22055,4997,73152.23,60137,5,0.6266,0.3734,0,0,796,0.0361
"5","Ashe County NC",26577,8058,81421.54,65092,5,0.6875,0.3125,0,0,1495,0.0563
"6","Avery County NC",17806,4269,106002.46,77762,6,0.4,0.6,0,0,1082,0.0608
"7","Beaufort County NC",44652,12885,92226.47,72407,6,0.4859,0.4591,0.055,0,12371,0.2771
"8","Bertie County NC",17934,4422,82238.06,61644,4,0.7704,0.2296,0,0,2087,0.1164
"9","Bladen County NC",29606,6911,84276.31,62270,4,0.7791,0.2209,0,0,3300,0.1115
"10","Brunswick County NC",136693,44919,109626.55,87470,6,0.3604,0.6099,0.0297,0,16431,0.1202
"11","Buncombe County NC",269452,61710,121286.19,89900,9,0.271,0.383,0.222,0.1239,11387,0.0423
"12","Burke County NC",87570,24649,86555.06,68107,5,0.5648,0.3709,0.0643,0,3411,0.039
"13","Cabarrus County NC",225804,58336,129701.83,102832,8,0.1429,0.6353,0.1814,0.0404,11621,0.0515
"14","Caldwell County NC",80652,21762,85008.53,70707,6,0.4909,0.4772,0.0319,0,3913,0.0485
"15","Camden County NC",10355,2989,116319,96588,4,0.7863,0.2137,0,0,3257,0.3145
"16","Carteret County NC",67686,19896,115712.93,89470,6,0.3926,0.5718,0.0357,0,20056,0.2963
"17","Caswell County NC",22736,5828,83603.26,72664,4,0.8913,0.1087,0,0,537,0.0236
"18","Catawba County NC",160610,43887,102975.06,77840,6,0.3977,0.5367,0.0657,0,4885,0.0304
"19","Chatham County NC",76285,22884,151316.8,109377,6,0.4495,0.5505,0,0,3452,0.0453
"20","Cherokee County NC",28774,8422,80848.65,65928,6,0.5492,0.4508,0,0,1792,0.0623
"21","Chowan County NC",13708,4069,88532.81,70734,6,0.3615,0.6385,0,0,1765,0.1288
"22","Clay County NC",11089,2958,99690.33,79101,5,0.6227,0.3773,0,0,720,0.0649
"23","Cleveland County NC",99519,25449,88414.62,68049,6,0.5098,0.4651,0.0251,0,2876,0.0289
"24","Columbus County NC",50623,12435,79847.65,61797,5,0.6652,0.3348,0,0,7327,0.1447
"25","Craven County NC",100720,27098,103892.96,81741,6,0.4242,0.5453,0.0304,0,16878,0.1676
"26","Cumberland County NC",334728,79793,89172.08,69881,7,0.3127,0.6727,0.0146,0,13822,0.0413
"27","Currituck County NC",28100,8485,128283.9,110343,6,0.3035,0.6965,0,0,10372,0.3691
"28","Dare County NC",36915,10859,124303.75,102345,8,0.1369,0.8059,0.0572,0,19193,0.5199
"29","Davidson County NC",168930,47058,93411.59,77356,6,0.4679,0.4863,0.0351,0.0106,6865,0.0406
"30","Davie County NC",42712,11767,109394.76,89369,5,0.6035,0.3965,0,0,2148,0.0503
"31","Duplin County NC",48715,13240,80945.37,68214,5,0.6951,0.3049,0,0,5412,0.1111
"32","Durham County NC",324833,77200,134079.6,103036,10,0.1349,0.3672,0.4127,0.0852,16052,0.0494
"33","Edgecombe County NC",48900,12863,76317.54,61203,7,0.499,0.2371,0.203,0.0608,5302,0.1084
"34","Forsyth County NC",382590,96263,110737.05,82991,7,0.2945,0.6296,0.0598,0.0161,14541,0.038
"35","Franklin County NC",68573,19909,99876.97,82705,5,0.5007,0.4993,0,0,2436,0.0355
"36","Gaston County NC",227943,60960,102659.64,80784,7,0.3336,0.6234,0.043,0,8476,0.0372
"37","Gates County NC",10478,2622,86915.1,76599,4,0.9337,0.0663,0,0,1212,0.1157
"38","Graham County NC",8030,2037,81938.54,63714,4,0.6499,0.3501,0,0,899,0.112
"39","Granville County NC",60992,15525,99653.51,84347,5,0.6876,0.3124,0,0,2288,0.0375
"40","Greene County NC",20451,4167,69347.68,57457,4,0.6712,0.3288,0,0,1496,0.0732
"41","Guilford County NC",541299,133505,112360.55,84325,8,0.1097,0.787,0.0901,0.0133,11924,0.022
"42","Halifax County NC",48622,12776,73975.43,57993,6,0.4918,0.475,0.0331,0,2460,0.0506
"43","Harnett County NC",133568,33475,97659.97,82501,6,0.5435,0.4382,0.0183,0,5048,0.0378
"44","Haywood County NC",62089,17144,95869.23,81941,6,0.4207,0.5342,0.0451,0,6547,0.1054
"45","Henderson County NC",116281,34081,105763.21,82920,7,0.3111,0.6115,0.0774,0,9088,0.0782
"46","Hertford County NC",21552,5158,82095.81,64296,5,0.5738,0.4052,0.021,0,1330,0.0617
"47","Hoke County NC",52082,12177,95848.45,73034,5,0.648,0.352,0,0,2414,0.0463
"48","Hyde County NC",4589,1273,63044.7,54730,5,0.7122,0.2878,0,0,4335,0.9447
"49","Iredell County NC",186693,52670,126521.64,93159,6,0.3701,0.6171,0.0129,0,7631,0.0409
"50","Jackson County NC",43109,10097,100797.87,74783,6,0.4725,0.5275,0,0,4147,0.0962
"51","Johnston County NC",215999,60072,113052.68,98993,6,0.4131,0.5757,0.0111,0,12629,0.0585
"52","Jones County NC",9172,2523,79053.98,69736,5,0.6281,0.3719,0,0,1753,0.1911
"53","Lee County NC",63285,17293,89662,68608,6,0.4375,0.535,0.0275,0,2121,0.0335
"54","Lenoir County NC",55122,13591,79576.4,63247,6,0.4569,0.4512,0.0919,0,5211,0.0945
"55","Lincoln County NC",86810,25928,120765.08,93296,5,0.5863,0.3751,0.0387,0,3286,0.0379
"56","McDowell County NC",44578,12868,83721.49,68570,5,0.5228,0.4644,0.0128,0,2574,0.0577
"57","Macon County NC",37014,11238,95922.06,71306,6,0.3663,0.6337,0,0,2161,0.0584
"58","Madison County NC",21193,5486,101891.96,82178,5,0.6809,0.3191,0,0,1078,0.0509
"59","Martin County NC",22031,5819,74735.5,64044,5,0.5494,0.4127,0.0379,0,2173,0.0986
"60","Mecklenburg County NC",1115482,267583,152550.55,105950,11,0.0577,0.432,0.4097,0.1006,43070,0.0386
"61","Mitchell County NC",14903,4077,89320.51,72303,6,0.347,0.653,0,0,659,0.0442
"62","Montgomery County NC",25751,7232,88766.63,63984,5,0.5075,0.4925,0,0,614,0.0238
"63","Moore County NC",99727,28302,125891.15,100891,6,0.3618,0.6172,0.0209,0,2615,0.0262
"64","Nash County NC",94970,24984,95196.97,74069,8,0.4231,0.276,0.2382,0.0627,4349,0.0458
"65","New Hanover County NC",225702,56950,132501.86,99706,11,0.0365,0.493,0.3014,0.1692,17563,0.0778
"66","Northampton County NC",17471,4614,85831.21,63477,4,0.8103,0.1897,0,0,1180,0.0675
"67","Onslow County NC",204576,51712,88627.66,72330,6,0.5401,0.4558,0.0041,0,17624,0.0861
"68","Orange County NC",148696,33795,177194.01,128253,10,0.2942,0.2114,0.3618,0.1326,3868,0.026
